iteration,episode,score,step
25,30,1.2,6400
50,62,1.2096774193548387,12800
75,99,1.1515151515151516,19200
100,136,1.02,25600
125,176,0.95,32000
150,212,0.79,38400
175,246,0.88,44800
200,285,0.91,51200
225,321,1.07,57600
250,355,1.09,64000
275,392,1.31,70400
300,427,1.32,76800
325,456,1.38,83200
350,494,1.3,89600
375,528,1.28,96000
400,559,1.62,102400
425,581,2.37,108800
450,603,3.18,115200
475,626,4.7,121600
500,651,5.86,128000
525,675,6.83,134400
550,699,7.01,140800
575,722,7.4,147200
600,746,7.16,153600
625,773,6.27,160000
650,800,5.9,166400
675,826,5.45,172800
700,849,5.74,179200
725,872,6.52,185600
750,901,7.32,192000
775,927,6.91,198400
800,969,4.36,204800
825,1016,1.25,211200
850,1048,1.13,217600
875,1073,2.41,224000
900,1101,3.99,230400
925,1127,5.02,236800
950,1156,5.04,243200
975,1186,4.7,249600
1000,1207,4.79,256000
1025,1234,5.96,262400
1050,1260,6.85,268800
1075,1283,7.42,275200
1100,1309,7.86,281600
1125,1328,8.0,288000
1150,1350,8.34,294400
1175,1374,8.45,300800
1200,1399,8.35,307200
1225,1426,7.55,313600
1250,1448,7.22,320000
1275,1477,6.6,326400
1300,1502,6.65,332800
1325,1527,6.73,339200
1350,1554,6.37,345600
1375,1579,6.77,352000
1400,1603,6.85,358400
1425,1628,6.8,364800
1450,1650,7.25,371200
1475,1673,7.63,377600
1500,1699,7.83,384000
1525,1722,8.15,390400
1550,1748,8.27,396800
1575,1773,7.83,403200
1600,1797,7.71,409600
1625,1821,7.18,416000
1650,1847,7.32,422400
1675,1869,7.84,428800
1700,1895,8.28,435200
1725,1919,8.52,441600
1750,1942,8.68,448000
1775,1968,8.32,454400
1800,1994,8.04,460800
1825,2016,8.12,467200
1850,2039,8.16,473600
1875,2061,8.4,480000
1900,2087,8.28,486400
1925,2109,8.4,492800
1950,2134,8.32,499200
1975,2160,8.08,505600
2000,2180,8.24,512000
2025,2206,8.2,518400
2050,2231,8.24,524800
2075,2254,8.4,531200
2100,2278,8.16,537600
2125,2303,8.32,544000
2150,2328,8.12,550400
2175,2351,8.32,556800
2200,2376,8.44,563200
2225,2401,8.2,569600
2250,2424,8.04,576000
2275,2450,7.92,582400
2300,2471,8.0,588800
2325,2499,7.76,595200
2350,2521,8.0,601600
2375,2549,7.76,608000
2400,2570,7.84,614400
2425,2597,8.24,620800
2450,2618,8.2,627200
2475,2645,8.68,633600
2500,2667,8.36,640000
2525,2692,8.4,646400
2550,2716,8.4,652800
2575,2740,7.78,659200
2600,2766,7.8,665600
2625,2788,7.64,672000
2650,2816,7.72,678400
2675,2840,7.66,684800
2700,2867,7.54,691200
2725,2891,7.1,697600
2750,2916,7.46,704000
2775,2940,7.58,710400
2800,2966,7.68,716800
2825,2988,7.96,723200
2850,3013,7.92,729600
2875,3037,7.96,736000
2900,3061,8.2,742400
2925,3085,8.16,748800
2950,3111,7.93,755200
2975,3136,7.76,761600
3000,3157,7.98,768000
3025,3184,7.86,774400
3050,3208,7.87,780800
3075,3231,8.27,787200
3100,3251,8.42,793600
3125,3278,8.54,800000
3150,3304,8.28,806400
3175,3330,7.71,812800
3200,3356,6.89,819200
3225,3380,6.61,825600
3250,3406,7.01,832000
3275,3429,7.03,838400
3300,3453,7.69,844800
3325,3476,8.09,851200
3350,3502,8.04,857600
3375,3525,8.22,864000
3400,3550,8.34,870400
3425,3572,8.28,876800
3450,3598,8.09,883200
3475,3623,8.02,889600
3500,3647,8.02,896000
3525,3671,8.12,902400
3550,3693,8.4,908800
3575,3718,8.66,915200
3600,3742,8.54,921600
3625,3767,8.4,928000
3650,3787,8.1,934400
3675,3813,8.25,940800
3700,3837,8.13,947200
3725,3863,8.06,953600
3750,3887,7.76,960000
3775,3912,7.84,966400
3800,3936,7.69,972800
3825,3960,7.86,979200
3850,3984,7.84,985600
3875,4011,7.67,992000
3900,4033,8.08,998400
3925,4059,7.94,1004800
3950,4080,7.93,1011200
3975,4107,8.14,1017600
4000,4130,8.1,1024000
4025,4154,8.22,1030400
4050,4178,8.33,1036800
4075,4203,8.29,1043200
4100,4226,8.22,1049600
4125,4250,8.3,1056000
4150,4274,8.3,1062400
4175,4298,8.38,1068800
4200,4320,8.49,1075200
4225,4345,8.56,1081600
4250,4371,8.41,1088000
4275,4392,8.25,1094400
4300,4417,8.49,1100800
4325,4439,8.45,1107200
4350,4467,8.68,1113600
4375,4488,8.56,1120000
4400,4516,8.32,1126400
4425,4538,7.84,1132800
4450,4564,7.84,1139200
4475,4589,7.85,1145600
4500,4614,7.5,1152000
4525,4640,7.68,1158400
4550,4662,7.69,1164800
4575,4689,7.8,1171200
4600,4711,7.77,1177600
4625,4738,8.04,1184000
4650,4763,7.8,1190400
4675,4786,7.82,1196800
4700,4811,7.82,1203200
4725,4835,7.79,1209600
4750,4862,7.7,1216000
4775,4884,7.74,1222400
4800,4909,7.7,1228800
4825,4933,7.72,1235200
4850,4959,7.94,1241600
4875,4984,7.84,1248000
4900,5006,7.89,1254400
4925,5032,7.89,1260800
4950,5056,7.51,1267200
4975,5079,7.7,1273600
5000,5105,7.72,1280000
5025,5130,7.72,1286400
5050,5155,7.83,1292800
5075,5179,7.72,1299200
5100,5203,8.08,1305600
5125,5226,8.32,1312000
5150,5249,8.68,1318400
5175,5272,9.2,1324800
5200,5298,8.66,1331200
5225,5321,8.19,1337600
5250,5343,7.71,1344000
5275,5368,7.59,1350400
5300,5392,7.85,1356800
5325,5418,8.12,1363200
5350,5440,8.68,1369600
5375,5465,8.85,1376000
5400,5488,8.73,1382400
5425,5511,8.81,1388800
5450,5535,8.61,1395200
5475,5559,8.56,1401600
5500,5582,8.52,1408000
5525,5606,8.6,1414400
5550,5633,8.32,1420800
5575,5657,7.96,1427200
5600,5682,7.8,1433600
5625,5706,7.6,1440000
5650,5734,7.56,1446400
5675,5755,7.61,1452800
5700,5784,7.33,1459200
5725,5805,7.53,1465600
5750,5831,8.01,1472000
5775,5851,8.29,1478400
5800,5877,8.92,1484800
5825,5898,8.84,1491200
5850,5924,8.56,1497600
5875,5947,8.64,1504000
