iteration,episode,score,step
25,402,6.34,96000
50,706,9.55,192000
75,1040,9.13,288000
100,1385,8.88,384000
125,1733,8.88,480000
150,2069,9.42,576000
175,2419,8.5,672000
200,2761,8.36,768000
225,3110,9.1,864000
250,3455,9.04,960000
275,3803,8.43,1056000
300,4146,9.12,1152000
325,4490,8.89,1248000
350,4819,9.3,1344000
375,5148,9.89,1440000
400,5490,10.06,1536000
425,5841,10.63,1632000
450,6198,10.97,1728000
475,6560,11.0,1824000
500,6917,11.0,1920000
525,7275,11.0,2016000
550,7610,11.0,2112000
575,7949,11.0,2208000
600,8271,11.0,2304000
625,8393,11.0,2400000
650,8710,11.0,2496000
675,9048,11.0,2592000
700,9383,11.0,2688000
725,9722,11.0,2784000
750,10057,11.0,2880000
775,10394,10.92,2976000
800,10730,11.0,3072000
825,11069,11.0,3168000
850,11405,11.0,3264000
875,11744,11.0,3360000
900,12074,10.96,3456000
925,12401,11.0,3552000
950,12749,11.0,3648000
975,13108,11.0,3744000
1000,13468,11.0,3840000
1025,13758,10.24,3936000
1050,14116,11.0,4032000
1075,14475,11.0,4128000
1100,14836,11.0,4224000
1125,15192,11.0,4320000
1150,15555,11.0,4416000
1175,15912,11.0,4512000
1200,16275,11.0,4608000
1225,16631,11.0,4704000
1250,16994,11.0,4800000
1275,17350,11.0,4896000
1300,17713,11.0,4992000
1325,18069,11.0,5088000
1350,18424,11.0,5184000
1375,18780,11.0,5280000
1400,19143,11.0,5376000
1425,19500,11.0,5472000
1450,19860,11.0,5568000
1475,20219,11.0,5664000
1500,20580,11.0,5760000
1525,20939,11.0,5856000
1550,21300,11.0,5952000
1575,21659,11.0,6048000
1600,22016,10.68,6144000
1625,22221,8.96,6240000
1650,22574,10.76,6336000
1675,22934,10.96,6432000
1700,23293,11.0,6528000
1725,23652,11.0,6624000
1750,24013,11.0,6720000
1775,24370,11.0,6816000
1800,24733,11.0,6912000
1825,25090,11.0,7008000
1850,25453,11.0,7104000
1875,25810,11.0,7200000
1900,26171,11.0,7296000
1925,26528,11.0,7392000
1950,26889,11.0,7488000
1975,27247,11.0,7584000
2000,27608,11.0,7680000
2025,27966,11.0,7776000
2050,28327,11.0,7872000
2075,28686,11.0,7968000
2100,29046,11.0,8064000
2125,29407,10.76,8160000
2150,29767,11.0,8256000
2175,30126,11.0,8352000
2200,30486,11.0,8448000
2225,30846,11.0,8544000
2250,31204,11.0,8640000
2275,31566,11.0,8736000
2300,31922,11.0,8832000
2325,32285,11.0,8928000
2350,32642,11.0,9024000
2375,33005,11.0,9120000
2400,33361,11.0,9216000
2425,33722,11.0,9312000
2450,34080,11.0,9408000
2475,34440,11.0,9504000
2500,34799,11.0,9600000
2525,35159,11.0,9696000
2550,35518,11.0,9792000
2575,35879,11.0,9888000
2600,36238,11.0,9984000
2625,36598,11.0,10080000
2650,36958,11.0,10176000
2675,37317,11.0,10272000
2700,37678,11.0,10368000
2725,38036,11.0,10464000
2750,38397,11.0,10560000
2775,38755,11.0,10656000
2800,39117,11.0,10752000
2825,39474,11.0,10848000
2850,39834,11.0,10944000
2875,40193,11.0,11040000
2900,40553,11.0,11136000
2925,40911,11.0,11232000
2950,41272,11.0,11328000
2975,41630,11.0,11424000
3000,41991,11.0,11520000
3025,42350,11.0,11616000
3050,42711,11.0,11712000
3075,43070,11.0,11808000
3100,43429,11.0,11904000
3125,43790,11.0,12000000
3150,44148,11.0,12096000
3175,44509,11.0,12192000
3200,44868,11.0,12288000
3225,45229,11.0,12384000
3250,45586,11.0,12480000
3275,45947,11.0,12576000
3300,46305,11.0,12672000
3325,46665,11.0,12768000
3350,47024,11.0,12864000
3375,47385,11.0,12960000
3400,47742,11.0,13056000
3425,48103,11.0,13152000
3450,48462,11.0,13248000
3475,48823,11.0,13344000
3500,49182,11.0,13440000
3525,49541,11.0,13536000
3550,49902,11.0,13632000
3575,50260,11.0,13728000
3600,50621,11.0,13824000
3625,50979,11.0,13920000
3650,51341,11.0,14016000
3675,51698,11.0,14112000
3700,52060,11.0,14208000
3725,52417,11.0,14304000
3750,52778,11.0,14400000
3775,53136,11.0,14496000
3800,53497,11.0,14592000
3825,53855,11.0,14688000
3850,54215,11.0,14784000
3875,54574,11.0,14880000
3900,54935,11.0,14976000
3925,55294,11.0,15072000
3950,55655,11.0,15168000
3975,56014,11.0,15264000
4000,56373,11.0,15360000
4025,56733,11.0,15456000
4050,57091,11.0,15552000
4075,57453,11.0,15648000
4100,57811,11.0,15744000
4125,58173,11.0,15840000
4150,58530,11.0,15936000
4175,58890,11.0,16032000
4200,59249,11.0,16128000
4225,59609,11.0,16224000
4250,59968,11.0,16320000
4275,60329,11.0,16416000
4300,60686,11.0,16512000
4325,61047,11.0,16608000
4350,61406,11.0,16704000
4375,61767,11.0,16800000
4400,62126,11.0,16896000
4425,62485,11.0,16992000
4450,62846,11.0,17088000
4475,63204,11.0,17184000
4500,63565,11.0,17280000
4525,63923,11.0,17376000
4550,64285,11.0,17472000
4575,64642,11.0,17568000
4600,65005,10.16,17664000
4625,65364,11.0,17760000
4650,65725,11.0,17856000
4675,66083,11.0,17952000
4700,66444,11.0,18048000
4725,66802,11.0,18144000
4750,67163,11.0,18240000
4775,67519,11.0,18336000
4800,67881,11.0,18432000
4825,68239,11.0,18528000
4850,68601,11.0,18624000
4875,68959,11.0,18720000
4900,69320,11.0,18816000
4925,69678,11.0,18912000
4950,70039,11.0,19008000
4975,70398,11.0,19104000
5000,70759,11.0,19200000
