iteration,episode,score,step
25,67,1.3432835820895523,12800
50,119,3.42,25600
75,173,5.07,38400
100,229,4.09,51200
125,283,4.41,64000
150,336,5.45,76800
175,382,6.66,89600
200,425,8.22,102400
225,473,8.63,115200
250,521,8.08,128000
275,568,7.75,140800
300,616,7.58,153600
325,669,7.02,166400
350,720,6.59,179200
375,767,7.47,192000
400,816,8.12,204800
425,863,8.08,217600
450,906,8.41,230400
475,957,8.27,243200
500,1007,7.3,256000
525,1060,6.88,268800
550,1111,6.69,281600
575,1160,7.21,294400
600,1210,7.6,307200
625,1255,8.06,320000
650,1307,8.26,332800
675,1353,8.13,345600
700,1398,8.57,358400
725,1446,8.8,371200
750,1496,7.84,384000
775,1544,7.52,396800
800,1591,8.2,409600
825,1642,7.41,422400
850,1692,6.52,435200
875,1742,6.97,448000
900,1787,8.15,460800
925,1835,8.47,473600
950,1887,7.55,486400
975,1933,7.58,499200
1000,1980,8.7,512000
1025,2028,8.86,524800
1050,2074,8.24,537600
1075,2121,8.01,550400
1100,2170,7.97,563200
1125,2219,7.46,576000
1150,2274,6.25,588800
1175,2322,6.5,601600
1200,2370,7.64,614400
1225,2418,8.3,627200
1250,2468,8.0,640000
1275,2517,7.62,652800
1300,2569,7.04,665600
1325,2617,7.52,678400
1350,2666,8.09,691200
1375,2717,7.29,704000
1400,2765,7.68,716800
1425,2815,8.0,729600
1450,2865,7.52,742400
1475,2916,7.84,755200
1500,2966,8.04,768000
1525,3013,8.3,780800
1550,3059,8.86,793600
1575,3109,8.68,806400
1600,3159,7.55,819200
1625,3209,7.34,832000
1650,3257,7.72,844800
1675,3305,7.68,857600
1700,3351,8.68,870400
1725,3399,9.12,883200
1750,3444,9.0,896000
1775,3491,8.72,908800
1800,3540,8.04,921600
1825,3589,8.08,934400
1850,3639,7.96,947200
1875,3686,7.75,960000
1900,3733,8.17,972800
1925,3776,8.43,985600
1950,3824,8.18,998400
1975,3872,8.45,1011200
2000,3920,8.24,1024000
2025,3972,7.94,1036800
2050,4019,8.06,1049600
2075,4066,8.02,1062400
2100,4114,7.97,1075200
2125,4160,7.78,1088000
2150,4206,7.99,1100800
