iteration,episode,score,step
25,290,7.22,76800
50,569,8.0,153600
75,827,7.7,230400
100,1084,7.8,307200
125,1358,6.8,384000
150,1637,5.32,460800
175,1928,5.96,537600
200,2191,7.31,614400
225,2464,7.32,691200
250,2722,8.43,768000
275,2984,6.61,844800
300,3246,7.18,921600
325,3510,6.17,998400
350,3752,7.08,1075200
375,4013,6.76,1152000
400,4256,7.76,1228800
425,4498,6.67,1305600
450,4765,6.55,1382400
475,5040,7.07,1459200
500,5307,7.93,1536000
525,5583,5.27,1612800
550,5880,5.76,1689600
575,6195,3.35,1766400
600,6505,4.68,1843200
625,6802,4.09,1920000
650,7077,5.16,1996800
675,7342,5.44,2073600
700,7630,6.13,2150400
725,7899,6.38,2227200
750,8168,6.86,2304000
775,8444,7.07,2380800
800,8717,6.68,2457600
825,8996,6.74,2534400
850,9265,7.05,2611200
875,9539,7.81,2688000
900,9813,7.31,2764800
925,10085,7.48,2841600
950,10371,7.54,2918400
975,10652,7.39,2995200
1000,10929,7.47,3072000
