iteration,episode,score,step
25,299,6.98,76800
50,585,6.06,153600
75,866,7.52,230400
100,1140,5.9,307200
125,1414,6.23,384000
150,1681,7.41,460800
175,1946,7.46,537600
200,2218,7.16,614400
225,2458,8.82,691200
250,2689,8.66,768000
275,2905,8.21,844800
300,3106,8.99,921600
325,3293,9.44,998400
350,3468,10.94,1075200
375,3636,10.65,1152000
400,3801,11.53,1228800
425,3959,12.7,1305600
450,4107,14.99,1382400
475,4256,17.25,1459200
500,4389,20.04,1536000
525,4516,21.42,1612800
550,4639,22.11,1689600
575,4760,21.58,1766400
600,4878,23.09,1843200
625,4989,25.98,1920000
650,5099,28.81,1996800
675,5207,27.88,2073600
700,5313,28.77,2150400
725,5421,27.87,2227200
750,5525,31.19,2304000
775,5625,31.08,2380800
800,5724,31.29,2457600
825,5825,30.68,2534400
850,5927,30.6,2611200
875,6036,27.68,2688000
900,6137,30.54,2764800
925,6231,34.71,2841600
950,6326,31.83,2918400
975,6424,32.43,2995200
1000,6521,32.04,3072000
1025,6619,33.66,3148800
1050,6711,35.05,3225600
1075,6806,34.04,3302400
1100,6898,35.93,3379200
