iteration,episode,score,step
25,217,5.29,51200
50,396,4.32,102400
75,582,4.5,153600
100,769,5.9,204800
125,952,6.47,256000
150,1133,5.5,307200
175,1316,5.74,358400
200,1495,5.69,409600
225,1667,6.56,460800
250,1829,7.48,512000
275,1990,6.92,563200
300,2134,10.61,614400
325,2279,8.93,665600
350,2409,11.35,716800
375,2529,12.73,768000
400,2641,14.99,819200
425,2749,17.43,870400
450,2857,15.61,921600
475,2954,17.38,972800
500,3057,17.32,1024000
525,3160,17.02,1075200
550,3261,18.36,1126400
575,3358,19.1,1177600
600,3451,20.57,1228800
625,3550,18.2,1280000
650,3633,20.81,1331200
675,3720,23.07,1382400
700,3801,25.23,1433600
725,3884,24.16,1484800
750,3966,24.14,1536000
775,4051,23.49,1587200
800,4123,27.62,1638400
825,4214,23.05,1689600
850,4298,21.86,1740800
875,4373,25.18,1792000
900,4445,27.97,1843200
925,4510,27.76,1894400
950,4578,31.91,1945600
975,4644,32.52,1996800
1000,4712,31.64,2048000
1025,4777,33.08,2099200
1050,4846,29.95,2150400
1075,4921,26.05,2201600
1100,4981,27.85,2252800
1125,5047,28.99,2304000
1150,5105,32.9,2355200
1175,5165,34.4,2406400
1200,5227,33.85,2457600
1225,5296,28.65,2508800
1250,5357,30.3,2560000
1275,5418,32.27,2611200
1300,5486,28.99,2662400
1325,5547,29.25,2713600
1350,5615,29.34,2764800
1375,5673,31.76,2816000
1400,5734,35.21,2867200
1425,5794,32.88,2918400
1450,5848,34.43,2969600
1475,5901,37.17,3020800
1500,5949,41.45,3072000
1525,5997,46.44,3123200
1550,6045,46.03,3174400
1575,6100,43.52,3225600
1600,6149,43.65,3276800
1625,6204,45.06,3328000
1650,6263,40.71,3379200
1675,6313,40.46,3430400
1700,6362,43.81,3481600
1725,6412,47.1,3532800
1750,6466,47.57,3584000
1775,6522,44.19,3635200
1800,6570,47.16,3686400
1825,6624,49.24,3737600
1850,6681,43.81,3788800
1875,6738,40.46,3840000
1900,6792,40.96,3891200
1925,6843,47.25,3942400
1950,6893,57.47,3993600
1975,6946,59.55,4044800
2000,7001,51.41,4096000
