iteration,episode,score,step
25,339,4.46,76800
50,622,6.3,153600
75,909,4.25,230400
100,1195,5.93,307200
125,1463,6.8,384000
150,1730,6.71,460800
175,1989,6.89,537600
200,2246,7.01,614400
225,2497,6.3,691200
250,2740,7.38,768000
275,2977,8.21,844800
300,3206,9.06,921600
325,3413,10.86,998400
350,3598,12.42,1075200
375,3770,13.03,1152000
400,3940,13.44,1228800
425,4111,14.19,1305600
450,4264,16.0,1382400
475,4414,16.6,1459200
500,4560,17.67,1536000
525,4697,20.55,1612800
550,4840,19.17,1689600
575,4982,18.15,1766400
600,5118,20.91,1843200
625,5247,23.24,1920000
650,5375,21.44,1996800
675,5501,23.48,2073600
700,5623,23.15,2150400
725,5747,24.41,2227200
750,5877,20.57,2304000
775,6006,22.6,2380800
800,6128,25.93,2457600
825,6253,24.07,2534400
850,6372,25.04,2611200
875,6482,25.9,2688000
900,6596,27.42,2764800
925,6699,29.89,2841600
950,6802,31.55,2918400
975,6908,28.64,2995200
1000,7012,31.94,3072000
1025,7129,26.78,3148800
1050,7225,31.32,3225600
1075,7329,32.15,3302400
1100,7433,30.79,3379200
1125,7526,34.2,3456000
1150,7630,32.31,3532800
1175,7724,35.99,3609600
1200,7822,31.76,3686400
1225,7916,35.99,3763200
1250,8004,35.55,3840000
1275,8096,34.5,3916800
1300,8181,36.18,3993600
1325,8269,40.34,4070400
1350,8359,35.76,4147200
1375,8444,41.82,4224000
1400,8529,38.73,4300800
1425,8620,40.51,4377600
1450,8710,36.26,4454400
1475,8793,41.46,4531200
1500,8875,45.48,4608000
1525,8970,38.09,4684800
1550,9064,37.85,4761600
1575,9154,37.08,4838400
1600,9239,41.97,4915200
