iteration,episode,score,step
25,327,7.19,76800
50,630,5.58,153600
75,916,6.64,230400
100,1215,6.06,307200
125,1494,6.21,384000
150,1777,6.56,460800
175,2057,6.65,537600
200,2328,6.8,614400
225,2598,6.58,691200
250,2849,7.68,768000
275,3098,7.37,844800
300,3348,7.12,921600
325,3586,8.22,998400
350,3795,10.17,1075200
375,4003,10.15,1152000
400,4206,10.65,1228800
425,4412,10.44,1305600
450,4610,10.78,1382400
475,4789,13.4,1459200
500,4966,12.74,1536000
525,5136,14.86,1612800
550,5303,14.82,1689600
575,5463,14.43,1766400
600,5612,17.78,1843200
625,5768,15.28,1920000
650,5915,15.79,1996800
675,6055,18.05,2073600
700,6198,17.7,2150400
