iteration,episode,score,step
25,560,1.16,102400
50,1091,1.44,204800
75,1554,2.32,307200
100,1948,4.35,409600
125,2312,4.75,512000
150,2672,4.09,614400
175,3033,4.39,716800
200,3390,4.82,819200
225,3754,3.16,921600
250,4199,1.96,1024000
275,4604,3.18,1126400
300,4944,3.9,1228800
325,5339,2.5,1331200
350,5744,3.75,1433600
375,6112,2.97,1536000
400,6322,4.58,1638400
425,6602,5.8,1740800
450,6918,7.67,1843200
475,7255,7.01,1945600
500,7595,8.84,2048000
525,7945,8.51,2150400
550,8307,6.86,2252800
575,8682,5.23,2355200
600,9037,5.86,2457600
