iteration,episode,score,step
25,0,nan,6400
50,13,-21.0,12800
75,16,-21.0,19200
100,32,-21.0,25600
125,32,-21.0,32000
150,48,-21.0,38400
175,48,-21.0,44800
200,64,-21.0,51200
225,64,-21.0,57600
250,80,-21.0,64000
275,80,-21.0,70400
300,96,-21.0,76800
325,96,-21.0,83200
350,112,-21.0,89600
375,112,-21.0,96000
400,128,-21.0,102400
425,128,-21.0,108800
450,144,-21.0,115200
475,144,-21.0,121600
500,160,-20.99,128000
525,162,-20.99,134400
550,176,-20.96,140800
575,180,-20.96,147200
600,192,-20.96,153600
625,198,-20.96,160000
650,208,-20.96,166400
675,218,-20.96,172800
700,224,-20.96,179200
725,237,-20.96,185600
750,240,-20.96,192000
775,254,-20.96,198400
800,256,-20.96,204800
825,271,-20.97,211200
850,272,-20.98,217600
875,287,-21.0,224000
900,288,-21.0,230400
925,303,-21.0,236800
950,304,-21.0,243200
975,320,-21.0,249600
1000,320,-21.0,256000
1025,336,-21.0,262400
1050,337,-21.0,268800
1075,352,-21.0,275200
1100,355,-21.0,281600
1125,368,-21.0,288000
1150,372,-21.0,294400
1175,384,-20.99,300800
1200,392,-20.99,307200
1225,400,-20.99,313600
1250,412,-20.99,320000
1275,416,-20.99,326400
1300,429,-20.99,332800
1325,432,-20.99,339200
1350,446,-20.99,345600
1375,448,-20.99,352000
1400,463,-20.99,358400
1425,464,-20.99,364800
1450,479,-20.99,371200
1475,480,-20.99,377600
1500,495,-21.0,384000
1525,496,-21.0,390400
1550,512,-21.0,396800
1575,513,-21.0,403200
1600,528,-21.0,409600
1625,531,-21.0,416000
1650,544,-21.0,422400
1675,548,-21.0,428800
1700,560,-21.0,435200
1725,568,-21.0,441600
1750,576,-21.0,448000
1775,588,-21.0,454400
1800,592,-21.0,460800
1825,604,-21.0,467200
1850,608,-21.0,473600
1875,622,-21.0,480000
1900,624,-21.0,486400
1925,639,-21.0,492800
1950,640,-21.0,499200
1975,655,-21.0,505600
2000,656,-21.0,512000
2025,671,-21.0,518400
2050,672,-21.0,524800
2075,688,-21.0,531200
2100,689,-21.0,537600
2125,704,-21.0,544000
2150,707,-21.0,550400
2175,720,-21.0,556800
2200,724,-21.0,563200
2225,736,-21.0,569600
2250,744,-21.0,576000
2275,752,-21.0,582400
2300,762,-21.0,588800
2325,768,-21.0,595200
2350,778,-21.0,601600
2375,784,-21.0,608000
2400,798,-21.0,614400
2425,800,-21.0,620800
2450,815,-21.0,627200
2475,816,-21.0,633600
2500,830,-21.0,640000
2525,832,-20.99,646400
2550,846,-20.98,652800
2575,848,-20.98,659200
2600,861,-20.98,665600
2625,864,-20.95,672000
2650,877,-20.95,678400
2675,883,-20.95,684800
2700,894,-20.95,691200
2725,899,-20.95,697600
2750,911,-20.95,704000
2775,918,-20.95,710400
2800,928,-20.95,716800
2825,936,-20.96,723200
2850,944,-20.96,729600
2875,950,-20.97,736000
2900,960,-20.93,742400
2925,968,-20.96,748800
2950,976,-20.93,755200
2975,984,-20.93,761600
3000,992,-20.9,768000
3025,999,-20.9,774400
3050,1008,-20.89,780800
3075,1016,-20.89,787200
3100,1024,-20.89,793600
3125,1032,-20.88,800000
3150,1040,-20.88,806400
3175,1046,-20.88,812800
3200,1056,-20.86,819200
3225,1063,-20.86,825600
3250,1073,-20.82,832000
3275,1076,-20.84,838400
3300,1086,-20.78,844800
3325,1090,-20.75,851200
3350,1099,-20.68,857600
3375,1105,-20.6,864000
3400,1112,-20.59,870400
3425,1119,-20.54,876800
3450,1128,-20.53,883200
3475,1133,-20.48,889600
3500,1142,-20.41,896000
3525,1144,-20.37,902400
3550,1152,-20.3,908800
3575,1159,-20.21,915200
3600,1162,-20.21,921600
3625,1171,-20.14,928000
3650,1177,-20.1,934400
3675,1185,-20.09,940800
3700,1189,-20.06,947200
3725,1197,-20.06,953600
3750,1201,-20.03,960000
3775,1207,-20.05,966400
3800,1217,-19.98,972800
3825,1220,-19.99,979200
3850,1226,-19.95,985600
3875,1233,-19.84,992000
3900,1235,-19.81,998400
3925,1241,-19.74,1004800
3950,1248,-19.68,1011200
3975,1250,-19.62,1017600
4000,1257,-19.59,1024000
4025,1264,-19.5,1030400
4050,1266,-19.49,1036800
4075,1271,-19.43,1043200
4100,1279,-19.4,1049600
4125,1281,-19.35,1056000
4150,1281,-19.35,1062400
4175,1288,-19.21,1068800
4200,1295,-19.19,1075200
4225,1297,-19.14,1081600
4250,1298,-19.13,1088000
4275,1303,-19.09,1094400
4300,1309,-18.97,1100800
4325,1313,-18.86,1107200
4350,1314,-18.85,1113600
4375,1318,-18.84,1120000
4400,1322,-18.75,1126400
4425,1329,-18.7,1132800
4450,1329,-18.7,1139200
4475,1331,-18.72,1145600
4500,1334,-18.73,1152000
4525,1339,-18.8,1158400
4550,1345,-18.76,1164800
4575,1345,-18.76,1171200
4600,1349,-18.81,1177600
4625,1351,-18.81,1184000
4650,1357,-18.76,1190400
4675,1361,-18.77,1196800
4700,1362,-18.76,1203200
4725,1365,-18.79,1209600
4750,1368,-18.78,1216000
4775,1375,-18.84,1222400
4800,1377,-18.85,1228800
4825,1378,-18.86,1235200
4850,1381,-18.9,1241600
4875,1384,-18.97,1248000
4900,1390,-19.04,1254400
4925,1393,-18.96,1260800
4950,1394,-18.95,1267200
4975,1397,-19.03,1273600
5000,1399,-19.07,1280000
5025,1406,-19.04,1286400
5050,1409,-19.02,1292800
5075,1410,-19.06,1299200
5100,1413,-19.04,1305600
5125,1413,-19.04,1312000
5150,1421,-18.83,1318400
5175,1425,-18.79,1324800
5200,1425,-18.79,1331200
5225,1428,-18.77,1337600
5250,1429,-18.7,1344000
5275,1436,-18.56,1350400
5300,1441,-18.47,1356800
5325,1441,-18.47,1363200
5350,1444,-18.49,1369600
5375,1445,-18.53,1376000
5400,1452,-18.61,1382400
5425,1457,-18.57,1388800
5450,1457,-18.57,1395200
5475,1460,-18.55,1401600
5500,1461,-18.57,1408000
5525,1468,-18.64,1414400
5550,1473,-18.64,1420800
5575,1473,-18.64,1427200
5600,1476,-18.64,1433600
5625,1477,-18.64,1440000
5650,1483,-18.55,1446400
5675,1489,-18.45,1452800
5700,1489,-18.45,1459200
5725,1492,-18.47,1465600
5750,1493,-18.53,1472000
