episode,score,time,step,epsilon
1,-21.0,0:00:06.262955,792,0.9307000000000076
2,-21.0,0:00:14.176779,1635,0.8464000000000169
3,-21.0,0:00:21.370898,2446,0.7653000000000258
4,-21.0,0:00:29.692362,3332,0.6767000000000356
5,-21.0,0:00:38.169680,4199,0.5900000000000452
6,-20.833333333333332,0:00:48.260001,5201,0.4898000000000562
7,-20.714285714285715,0:00:59.450498,6318,0.3781000000000685
8,-20.625,0:01:09.380187,7295,0.28040000000007925
9,-20.666666666666668,0:01:17.944383,8087,0.20120000000008798
10,-20.7,0:01:26.643316,8898,0.12010000000009623
11,-20.727272727272727,0:01:34.917192,9662,0.04370000000009404
12,-20.75,0:01:44.155539,10534,0.02
13,-20.692307692307693,0:01:53.102831,11404,0.02
14,-20.642857142857142,0:02:02.534210,12247,0.02
15,-20.666666666666668,0:02:10.675851,13011,0.02
16,-20.6875,0:02:20.528258,13926,0.02
17,-20.705882352941178,0:02:28.486747,14690,0.02
18,-20.666666666666668,0:02:37.320971,15533,0.02
19,-20.63157894736842,0:02:46.229005,16398,0.02
20,-20.6,0:02:55.644290,17285,0.02
21,-20.61904761904762,0:03:05.436883,18248,0.02
22,-20.636363636363637,0:03:15.360961,19158,0.02
23,-20.608695652173914,0:03:26.167970,20184,0.02
24,-20.625,0:03:35.746199,21038,0.02
25,-20.64,0:03:44.357562,21862,0.02
26,-20.653846153846153,0:03:54.018074,22756,0.02
27,-20.666666666666668,0:04:03.554921,23640,0.02
28,-20.642857142857142,0:04:15.304892,24727,0.02
29,-20.586206896551722,0:04:25.143997,25664,0.02
30,-20.6,0:04:34.959506,26546,0.02
31,-20.612903225806452,0:04:43.770056,27366,0.02
32,-20.5625,0:04:54.051124,28332,0.02
33,-20.575757575757574,0:05:03.911693,29265,0.02
34,-20.558823529411764,0:05:15.006243,30327,0.02
35,-20.542857142857144,0:05:24.067047,31197,0.02
36,-20.52777777777778,0:05:33.719175,32123,0.02
37,-20.513513513513512,0:05:42.961364,33012,0.02
38,-20.473684210526315,0:05:53.277427,33988,0.02
39,-20.46153846153846,0:06:03.941875,34990,0.02
40,-20.475,0:06:12.096931,35782,0.02
41,-20.463414634146343,0:06:22.258164,36708,0.02
42,-20.452380952380953,0:06:31.372576,37573,0.02
43,-20.46511627906977,0:06:40.311015,38399,0.02
44,-20.477272727272727,0:06:49.197641,39191,0.02
45,-20.488888888888887,0:06:57.700095,40017,0.02
46,-20.5,0:07:09.494073,41115,0.02
47,-20.51063829787234,0:07:18.481423,41991,0.02
48,-20.520833333333332,0:07:29.655512,43086,0.02
49,-20.510204081632654,0:07:42.271577,44315,0.02
50,-20.52,0:07:55.646499,45562,0.02
51,-20.529411764705884,0:08:06.133795,46570,0.02
52,-20.53846153846154,0:08:18.079667,47732,0.02
53,-20.528301886792452,0:08:30.364283,48915,0.02
54,-20.51851851851852,0:08:41.092253,49926,0.02
55,-20.454545454545453,0:08:54.778405,51241,0.02
56,-20.392857142857142,0:09:10.617534,52764,0.02
57,-20.385964912280702,0:09:22.177491,53889,0.02
58,-20.310344827586206,0:09:38.154464,55418,0.02
59,-20.271186440677965,0:09:51.081317,56661,0.02
60,-20.25,0:10:05.532864,58062,0.02
61,-20.24590163934426,0:10:20.772632,59512,0.02
62,-20.20967741935484,0:10:37.389063,61055,0.02
63,-20.142857142857142,0:10:55.715257,62802,0.02
