episode,score,time,step,epsilon
1,-21.0,0:00:20.095994,888,0.9211000000000087
2,-21.0,0:00:41.009117,1802,0.8297000000000188
3,-21.0,0:00:58.597390,2566,0.7533000000000272
4,-21.0,0:01:19.636806,3478,0.6621000000000372
5,-21.0,0:01:40.139482,4360,0.5739000000000469
6,-21.0,0:02:01.498592,5274,0.482500000000057
7,-20.714285714285715,0:02:23.000695,6194,0.3905000000000671
8,-20.75,0:02:42.292985,7018,0.3081000000000762
9,-20.77777777777778,0:03:00.348218,7782,0.23170000000008462
10,-20.8,0:03:20.383473,8634,0.146500000000094
11,-20.818181818181817,0:03:39.788130,9458,0.06410000000009462
12,-20.833333333333332,0:03:59.352584,10282,0.019900000000093752
13,-20.846153846153847,0:04:18.019343,11065,0.019900000000093752
14,-20.857142857142858,0:04:36.785501,11857,0.019900000000093752
15,-20.866666666666667,0:04:55.667987,12655,0.019900000000093752
16,-20.8125,0:05:16.993140,13544,0.019900000000093752
17,-20.823529411764707,0:05:37.336953,14428,0.019900000000093752
18,-20.77777777777778,0:05:57.534813,15299,0.019900000000093752
19,-20.789473684210527,0:06:15.227428,16063,0.019900000000093752
20,-20.8,0:06:33.727477,16864,0.019900000000093752
21,-20.80952380952381,0:06:53.325979,17716,0.019900000000093752
22,-20.818181818181817,0:07:12.727864,18558,0.019900000000093752
23,-20.82608695652174,0:07:34.535121,19505,0.019900000000093752
24,-20.833333333333332,0:07:54.820894,20387,0.019900000000093752
25,-20.84,0:08:13.769928,21211,0.019900000000093752
26,-20.846153846153847,0:08:33.090256,22051,0.019900000000093752
27,-20.85185185185185,0:08:50.819341,22815,0.019900000000093752
28,-20.857142857142858,0:09:09.774855,23635,0.019900000000093752
29,-20.862068965517242,0:09:27.408034,24399,0.019900000000093752
30,-20.866666666666667,0:09:44.999864,25163,0.019900000000093752
31,-20.870967741935484,0:10:02.535378,25927,0.019900000000093752
32,-20.875,0:10:22.698337,26805,0.019900000000093752
33,-20.848484848484848,0:10:43.154459,27694,0.019900000000093752
34,-20.852941176470587,0:11:00.707102,28458,0.019900000000093752
35,-20.82857142857143,0:11:21.274901,29353,0.019900000000093752
36,-20.833333333333332,0:11:41.557618,30237,0.019900000000093752
37,-20.83783783783784,0:12:02.557867,31152,0.019900000000093752
38,-20.842105263157894,0:12:20.070161,31916,0.019900000000093752
39,-20.846153846153847,0:12:40.877870,32824,0.019900000000093752
40,-20.85,0:12:58.388804,33588,0.019900000000093752
41,-20.853658536585368,0:13:17.336756,34412,0.019900000000093752
42,-20.833333333333332,0:13:38.743640,35344,0.019900000000093752
43,-20.837209302325583,0:13:57.571540,36164,0.019900000000093752
44,-20.84090909090909,0:14:16.463529,36988,0.019900000000093752
45,-20.844444444444445,0:14:36.009801,37841,0.019900000000093752
46,-20.847826086956523,0:14:56.314387,38725,0.019900000000093752
47,-20.851063829787233,0:15:16.349721,39598,0.019900000000093752
48,-20.854166666666668,0:15:35.977670,40452,0.019900000000093752
49,-20.857142857142858,0:15:56.340503,41338,0.019900000000093752
50,-20.86,0:16:16.673388,42224,0.019900000000093752
51,-20.862745098039216,0:16:34.861934,43016,0.019900000000093752
52,-20.865384615384617,0:16:57.156589,43988,0.019900000000093752
53,-20.867924528301888,0:17:15.153050,44771,0.019900000000093752
54,-20.87037037037037,0:17:36.104797,45683,0.019900000000093752
55,-20.87272727272727,0:17:56.813721,46586,0.019900000000093752
56,-20.857142857142858,0:18:19.298433,47567,0.019900000000093752
57,-20.859649122807017,0:18:38.115807,48387,0.019900000000093752
58,-20.82758620689655,0:18:59.634874,49324,0.019900000000093752
59,-20.8135593220339,0:19:21.717007,50286,0.019900000000093752
60,-20.8,0:19:43.059279,51216,0.019900000000093752
61,-20.770491803278688,0:20:06.241250,52226,0.019900000000093752
62,-20.774193548387096,0:20:25.158992,53050,0.019900000000093752
63,-20.761904761904763,0:20:46.401571,53978,0.019900000000093752
64,-20.75,0:21:05.722404,54820,0.019900000000093752
65,-20.753846153846155,0:21:23.940203,55612,0.019900000000093752
66,-20.757575757575758,0:21:42.190574,56404,0.019900000000093752
67,-20.746268656716417,0:22:04.231989,57364,0.019900000000093752
68,-20.735294117647058,0:22:24.184601,58234,0.019900000000093752
69,-20.73913043478261,0:22:42.982810,59055,0.019900000000093752
70,-20.742857142857144,0:23:02.544933,59907,0.019900000000093752
71,-20.746478873239436,0:23:20.777481,60699,0.019900000000093752
72,-20.73611111111111,0:23:41.148976,61588,0.019900000000093752
73,-20.73972602739726,0:24:00.684890,62440,0.019900000000093752
74,-20.743243243243242,0:24:20.223542,63292,0.019900000000093752
75,-20.746666666666666,0:24:38.418779,64084,0.019900000000093752
76,-20.736842105263158,0:25:02.448214,65131,0.019900000000093752
77,-20.74025974025974,0:25:20.635911,65923,0.019900000000093752
78,-20.743589743589745,0:25:39.464362,66743,0.019900000000093752
79,-20.734177215189874,0:25:58.782247,67585,0.019900000000093752
80,-20.7375,0:26:17.648730,68407,0.019900000000093752
81,-20.728395061728396,0:26:36.990952,69249,0.019900000000093752
82,-20.73170731707317,0:26:55.152796,70041,0.019900000000093752
83,-20.72289156626506,0:27:16.156774,70956,0.019900000000093752
84,-20.726190476190474,0:27:34.673630,71763,0.019900000000093752
85,-20.729411764705883,0:27:52.892904,72555,0.019900000000093752
86,-20.732558139534884,0:28:11.798711,73378,0.019900000000093752
87,-20.71264367816092,0:28:33.631334,74326,0.019900000000093752
88,-20.71590909090909,0:28:51.830613,75118,0.019900000000093752
89,-20.707865168539325,0:29:11.121898,75960,0.019900000000093752
90,-20.7,0:29:30.410794,76802,0.019900000000093752
91,-20.703296703296704,0:29:48.583155,77594,0.019900000000093752
92,-20.695652173913043,0:30:12.390562,78631,0.019900000000093752
93,-20.698924731182796,0:30:31.677835,79471,0.019900000000093752
94,-20.69148936170213,0:30:51.004007,80313,0.019900000000093752
95,-20.694736842105264,0:31:10.615587,81166,0.019900000000093752
96,-20.6875,0:31:30.346201,82027,0.019900000000093752
97,-20.690721649484537,0:31:48.525298,82819,0.019900000000093752
98,-20.693877551020407,0:32:09.438131,83728,0.019900000000093752
99,-20.68686868686869,0:32:29.761392,84615,0.019900000000093752
100,-20.68,0:32:54.862510,85710,0.019900000000093752
101,-20.66,0:33:18.740415,86753,0.019900000000093752
102,-20.65,0:33:41.904937,87762,0.019900000000093752
103,-20.63,0:34:12.361694,89087,0.019900000000093752
104,-20.61,0:34:33.850889,90024,0.019900000000093752
105,-20.6,0:34:55.987831,90987,0.019900000000093752
106,-20.6,0:35:14.791949,91808,0.019900000000093752
107,-20.6,0:35:36.889489,92772,0.019900000000093752
108,-20.59,0:35:57.595558,93675,0.019900000000093752
109,-20.58,0:36:19.576553,94634,0.019900000000093752
110,-20.57,0:36:43.972344,95699,0.019900000000093752
111,-20.57,0:37:04.136631,96579,0.019900000000093752
112,-20.55,0:37:26.584281,97557,0.019900000000093752
113,-20.54,0:37:48.347952,98506,0.019900000000093752
114,-20.52,0:38:10.259300,99462,0.019900000000093752
115,-20.51,0:38:38.327177,100686,0.019900000000093752
116,-20.52,0:39:01.582171,101699,0.019900000000093752
117,-20.51,0:39:26.379018,102781,0.019900000000093752
118,-20.52,0:39:49.491537,103788,0.019900000000093752
119,-20.51,0:40:16.153226,104947,0.019900000000093752
120,-20.47,0:40:50.890988,106457,0.019900000000093752
121,-20.46,0:41:17.833628,107631,0.019900000000093752
122,-20.42,0:41:51.005042,109079,0.019900000000093752
123,-20.41,0:42:19.817981,110334,0.019900000000093752
124,-20.4,0:42:50.298831,111664,0.019900000000093752
125,-20.37,0:43:23.783865,113124,0.019900000000093752
126,-20.35,0:43:52.943998,114395,0.019900000000093752
127,-20.32,0:44:33.177152,116149,0.019900000000093752
128,-20.28,0:45:09.168975,117718,0.019900000000093752
129,-20.24,0:45:45.353361,119295,0.019900000000093752
130,-20.19,0:46:24.183922,120987,0.019900000000093752
131,-20.14,0:47:07.252014,122862,0.019900000000093752
132,-20.06,0:47:47.664843,124623,0.019900000000093752
133,-20.02,0:48:22.954597,126162,0.019900000000093752
134,-19.98,0:48:52.229380,127439,0.019900000000093752
135,-19.93,0:49:37.453253,129410,0.019900000000093752
136,-19.85,0:50:16.677130,131119,0.019900000000093752
137,-19.78,0:50:59.616793,132993,0.019900000000093752
138,-19.71,0:51:45.188248,134981,0.019900000000093752
139,-19.63,0:52:30.886080,136971,0.019900000000093752
140,-19.56,0:53:13.418347,138822,0.019900000000093752
141,-19.49,0:53:59.246441,140822,0.019900000000093752
142,-19.43,0:54:45.997472,142858,0.019900000000093752
143,-19.4,0:55:24.879584,144550,0.019900000000093752
144,-19.34,0:56:12.137151,146608,0.019900000000093752
145,-19.31,0:56:53.010221,148390,0.019900000000093752
146,-19.27,0:57:34.218027,150186,0.019900000000093752
147,-19.14,0:58:28.928503,152567,0.019900000000093752
148,-19.09,0:59:16.914331,154659,0.019900000000093752
149,-19.0,1:00:09.525022,156947,0.019900000000093752
150,-18.92,1:00:57.554757,159039,0.019900000000093752
151,-18.87,1:01:44.154751,161070,0.019900000000093752
152,-18.79,1:02:36.623995,163359,0.019900000000093752
153,-18.75,1:03:16.222617,165085,0.019900000000093752
154,-18.71,1:03:58.953925,166945,0.019900000000093752
155,-18.61,1:04:58.654872,169546,0.019900000000093752
156,-18.59,1:05:38.917511,171293,0.019900000000093752
157,-18.51,1:06:30.835433,173552,0.019900000000093752
158,-18.5,1:07:18.231058,175619,0.019900000000093752
159,-18.45,1:08:04.534757,177637,0.019900000000093752
160,-18.33,1:09:03.445297,180209,0.019900000000093752
161,-18.28,1:09:54.916836,182452,0.019900000000093752
162,-18.23,1:10:37.627083,184314,0.019900000000093752
163,-18.14,1:11:30.885802,186634,0.019900000000093752
164,-18.1,1:12:31.729441,189280,0.019900000000093752
165,-18.03,1:13:26.841553,191681,0.019900000000093752
166,-17.94,1:14:15.266633,193789,0.019900000000093752
167,-17.88,1:15:09.660130,196159,0.019900000000093752
168,-17.84,1:16:00.837745,198389,0.019900000000093752
169,-17.78,1:16:58.554658,200902,0.019900000000093752
170,-17.69,1:17:57.248746,203460,0.019900000000093752
171,-17.54,1:19:16.060049,206889,0.019900000000093752
172,-17.44,1:20:32.083616,210202,0.019900000000093752
173,-17.38,1:21:29.205826,212691,0.019900000000093752
174,-17.28,1:22:36.833586,215622,0.019900000000093752
175,-17.13,1:23:54.699949,219008,0.019900000000093752
176,-17.0,1:25:13.602426,222450,0.019900000000093752
177,-16.82,1:26:37.781353,226125,0.019900000000093752
178,-16.6,1:28:09.218652,230113,0.019900000000093752
179,-16.45,1:29:32.428954,233741,0.019900000000093752
180,-16.23,1:30:56.513973,237408,0.019900000000093752
181,-16.09,1:32:08.751670,240555,0.019900000000093752
182,-15.83,1:33:24.637406,243862,0.019900000000093752
183,-15.53,1:34:26.191616,246545,0.019900000000093752
184,-15.28,1:35:36.274102,249600,0.019900000000093752
185,-15.12,1:36:45.343538,252609,0.019900000000093752
186,-14.8,1:37:44.821977,255201,0.019900000000093752
