episode,score,time,step,epsilon
1,-21.0,0:00:16.283105,764,0.9335000000000073
2,-20.5,0:00:36.293783,1711,0.8388000000000178
3,-20.666666666666668,0:00:55.367466,2614,0.7485000000000277
4,-20.75,0:01:15.666536,3547,0.655200000000038
5,-20.8,0:01:34.880646,4447,0.5652000000000479
6,-20.666666666666668,0:01:53.865643,5326,0.47730000000005757
7,-20.714285714285715,0:02:13.532880,6197,0.39020000000006716
8,-20.625,0:02:35.872775,7269,0.28300000000007897
9,-20.666666666666668,0:02:53.323619,8061,0.2038000000000877
10,-20.6,0:03:13.951257,8994,0.11050000000009595
11,-20.545454545454547,0:03:33.099856,9864,0.02350000000009373
12,-20.416666666666668,0:03:57.613635,10990,0.019900000000093752
13,-20.46153846153846,0:04:18.177259,11934,0.019900000000093752
14,-20.5,0:04:37.360517,12816,0.019900000000093752
15,-20.533333333333335,0:04:54.808657,13580,0.019900000000093752
16,-20.5625,0:05:14.287490,14404,0.019900000000093752
17,-20.58823529411765,0:05:32.264685,15224,0.019900000000093752
18,-20.555555555555557,0:05:51.965579,16126,0.019900000000093752
19,-20.526315789473685,0:06:11.434748,17024,0.019900000000093752
20,-20.55,0:06:30.413438,17865,0.019900000000093752
21,-20.571428571428573,0:06:47.815891,18657,0.019900000000093752
22,-20.545454545454547,0:07:11.211212,19732,0.019900000000093752
23,-20.565217391304348,0:07:27.770942,20496,0.019900000000093752
24,-20.583333333333332,0:07:44.067485,21260,0.019900000000093752
25,-20.6,0:08:04.089783,22196,0.019900000000093752
26,-20.576923076923077,0:08:22.102340,23038,0.019900000000093752
27,-20.59259259259259,0:08:40.264721,23890,0.019900000000093752
28,-20.607142857142858,0:08:59.530304,24756,0.019900000000093752
29,-20.620689655172413,0:09:17.003638,25577,0.019900000000093752
30,-20.6,0:09:36.719067,26511,0.019900000000093752
31,-20.612903225806452,0:09:53.422266,27303,0.019900000000093752
32,-20.625,0:10:11.849541,28177,0.019900000000093752
33,-20.606060606060606,0:10:32.459983,29158,0.019900000000093752
34,-20.61764705882353,0:10:51.047925,30040,0.019900000000093752
35,-20.62857142857143,0:11:07.744938,30832,0.019900000000093752
36,-20.63888888888889,0:11:24.415136,31624,0.019900000000093752
37,-20.594594594594593,0:11:45.694658,32633,0.019900000000093752
