episode,score,time,step,epsilon
1,-20.0,0:00:08.383549,930,0.9169000000000092
2,-20.0,0:00:16.864833,1801,0.8298000000000187
3,-20.333333333333332,0:00:25.760829,2728,0.737100000000029
4,-20.5,0:00:35.505138,3690,0.6409000000000395
5,-20.4,0:00:43.959065,4560,0.5539000000000491
6,-20.5,0:00:52.093562,5362,0.47370000000005796
7,-20.571428571428573,0:01:00.474611,6188,0.39110000000006706
8,-20.625,0:01:08.647344,7012,0.30870000000007614
9,-20.666666666666668,0:01:18.733275,7987,0.21120000000008687
10,-20.7,0:01:26.663921,8779,0.1320000000000956
11,-20.727272727272727,0:01:36.569225,9726,0.037300000000093855
12,-20.75,0:01:44.708703,10490,0.02
13,-20.76923076923077,0:01:52.396062,11254,0.02
14,-20.785714285714285,0:02:01.379559,12125,0.02
15,-20.8,0:02:10.635409,13039,0.02
16,-20.8125,0:02:19.244081,13865,0.02
17,-20.823529411764707,0:02:28.205949,14749,0.02
18,-20.77777777777778,0:02:38.204112,15740,0.02
19,-20.789473684210527,0:02:46.389071,16532,0.02
20,-20.8,0:02:53.695235,17296,0.02
21,-20.761904761904763,0:03:03.449936,18259,0.02
22,-20.772727272727273,0:03:13.114909,19202,0.02
23,-20.782608695652176,0:03:20.899754,19994,0.02
24,-20.791666666666668,0:03:28.450029,20758,0.02
25,-20.8,0:03:38.640118,21704,0.02
26,-20.807692307692307,0:03:47.424793,22556,0.02
27,-20.814814814814813,0:03:55.397293,23320,0.02
28,-20.821428571428573,0:04:04.415773,24191,0.02
29,-20.82758620689655,0:04:12.844396,25015,0.02
30,-20.833333333333332,0:04:20.803511,25826,0.02
31,-20.838709677419356,0:04:28.633035,26590,0.02
32,-20.8125,0:04:37.942332,27554,0.02
33,-20.818181818181817,0:04:45.746227,28318,0.02
34,-20.823529411764707,0:04:53.520789,29082,0.02
35,-20.82857142857143,0:05:01.473500,29846,0.02
36,-20.833333333333332,0:05:10.082179,30672,0.02
37,-20.83783783783784,0:05:19.240595,31496,0.02
38,-20.842105263157894,0:05:27.771518,32307,0.02
39,-20.846153846153847,0:05:35.065680,33071,0.02
40,-20.85,0:05:42.622013,33863,0.02
41,-20.853658536585368,0:05:51.525793,34747,0.02
42,-20.857142857142858,0:05:59.832040,35558,0.02
43,-20.86046511627907,0:06:08.469032,36378,0.02
