iteration,episode,score,step
25,50,-20.46,48000
50,103,-20.34,96000
75,161,-20.37,144000
100,218,-20.52,192000
125,276,-20.52,240000
150,326,-20.3,288000
175,379,-20.21,336000
200,432,-20.27,384000
225,484,-20.12,432000
250,535,-20.03,480000
275,584,-19.95,528000
300,634,-19.92,576000
325,679,-19.8,624000
350,726,-19.41,672000
375,765,-19.06,720000
400,804,-18.43,768000
425,839,-17.77,816000
450,872,-16.94,864000
475,903,-15.98,912000
500,926,-14.7,960000
525,949,-13.0,1008000
550,966,-10.78,1056000
575,987,-6.27,1104000
600,1010,-0.32,1152000
