iteration,episode,score,step
25,79,-20.430379746835442,76800
50,161,-20.33,153600
75,249,-20.32,230400
100,331,-20.29,307200
125,409,-19.92,384000
150,481,-19.7,460800
175,536,-19.13,537600
200,588,-18.87,614400
225,632,-18.63,691200
250,668,-17.83,768000
275,702,-16.86,844800
300,727,-15.27,921600
325,748,-13.27,998400
350,766,-10.27,1075200
375,791,-3.82,1152000
400,811,2.19,1228800
425,835,8.99,1305600
450,858,14.22,1382400
475,883,17.08,1459200
500,906,18.39,1536000
525,930,18.99,1612800
550,953,19.07,1689600
575,978,19.52,1766400
600,1003,19.56,1843200
